id,inhabitant per km^2
4285,763.46
749,1150.74
158,1646.57
2499,174.8
2532,494.04
5929,81.14
3695,3.62
4012,933.46
4506,407.14
5501,234.52
957,84.17
3985,11.96
3540,2.76
2044,69.18
1103,1619.28
5930,47.83
750,387.81
5688,55.38
2152,77.05
2043,109.31
5500,96.25
2306,392.59
3733,28.84
5729,881.77
5862,212.96
713,243.85
2862,362.18
4320,165.3
5131,778.86
2863,190.81
2307,360.16
6010,47.66
5396,229.85
3024,402.35
4145,443.38
940,35.23
3237,667.88
4117,82.01
39,140.37
141,3220.69
2920,264.9
2775,1306.4
941,320.16
942,2014.4
4611,91.05
342,336.57
3668,442.25
6640,3643.08
989,240.09
2864,616.3
3541,5.65
2894,110.27
4776,219.46
884,519.96
5649,1169.18
2115,86.85
5227,587.19
958,61.18
446,177.75
2973,146.59
500,91.35
5827,67.55
5931,225.85
5828,39.68
2226,126.27
1104,204.4
6142,4.88
2500,850.33
3945,74.31
3734,28.01
3025,170.4
6641,678.78
